Time [ms]:	File:	Number of lines:
51	o0011.lode-1.txt	5148
40	o0011.lode-2.txt	5976
38	o0011.lode-3.txt	4665
8	o0011.lode-4.txt	1291
6	o0011.lode-5.txt	1023
6	o0011.lode-6.txt	730
22	o0011.lode-7.txt	1182
18	o0011.lode-8.txt	3333
64	o0012.lode-1.txt	12197
70	o0012.lode-2.txt	14695
65	o0012.lode-3.txt	13617
22	o0012.lode-4.txt	2257
24	o0012.lode-5.txt	992
23	o0012.lode-6.txt	708
10	o0012.lode-7.txt	822
16	o0012.lode-8.txt	1784
91	o0022.lode-1.txt	21125
60	o0022.lode-2.txt	13961
55	o0022.lode-3.txt	11288
43	o0022.lode-4.txt	8242
43	o0022.lode-5.txt	8235
44	o0022.lode-6.txt	8176
59	o0022.lode-7.txt	11845
107	o0022.lode-8.txt	26598
92	o0023.lode-1.txt	20466
66	o0023.lode-2.txt	14787
60	o0023.lode-3.txt	11920
49	o0023.lode-4.txt	8705
43	o0023.lode-5.txt	8871
47	o0023.lode-6.txt	10457
83	o0023.lode-7.txt	18480
165	o0023.lode-8.txt	38154
91	o0026.lode-1.txt	18336
71	o0026.lode-2.txt	15088
63	o0026.lode-3.txt	12793
52	o0026.lode-4.txt	9137
46	o0026.lode-5.txt	9988
62	o0026.lode-6.txt	12474
113	o0026.lode-7.txt	26289
243	o0026.lode-8.txt	59587
115	o0027.lode-1.txt	26364
101	o0027.lode-2.txt	21539
80	o0027.lode-3.txt	17470
54	o0027.lode-4.txt	11889
63	o0027.lode-5.txt	12392
72	o0027.lode-6.txt	15088
134	o0027.lode-7.txt	31143
297	o0027.lode-8.txt	74061
130	o0029.lode-1.txt	29157
109	o0029.lode-2.txt	24691
106	o0029.lode-3.txt	20388
72	o0029.lode-4.txt	14439
75	o0029.lode-5.txt	15026
79	o0029.lode-6.txt	17383
144	o0029.lode-7.txt	35403
351	o0029.lode-8.txt	84565
179	o0030.lode-1.txt	42319
151	o0030.lode-2.txt	33818
107	o0030.lode-3.txt	25192
58	o0030.lode-4.txt	14198
73	o0030.lode-5.txt	16054
91	o0030.lode-6.txt	20263
168	o0030.lode-7.txt	37483
347	o0030.lode-8.txt	85309
170	o0031.lode-1.txt	41779
141	o0031.lode-2.txt	33696
110	o0031.lode-3.txt	26031
68	o0031.lode-4.txt	16319
78	o0031.lode-5.txt	17911
97	o0031.lode-6.txt	22066
184	o0031.lode-7.txt	43881
441	o0031.lode-8.txt	109134
253	o0049.lode-1.txt	59524
209	o0049.lode-2.txt	49466
155	o0049.lode-3.txt	36892
95	o0049.lode-4.txt	20009
94	o0049.lode-5.txt	21402
131	o0049.lode-6.txt	24245
140	o0049.lode-7.txt	34655
199	o0049.lode-8.txt	47657
200	o0050.lode-1.txt	49544
160	o0050.lode-2.txt	39310
128	o0050.lode-3.txt	30235
89	o0050.lode-4.txt	19517
96	o0050.lode-5.txt	21955
111	o0050.lode-6.txt	24871
153	o0050.lode-7.txt	36490
254	o0050.lode-8.txt	56869
197	o0051.lode-1.txt	47093
167	o0051.lode-2.txt	39114
131	o0051.lode-3.txt	29486
81	o0051.lode-4.txt	18758
89	o0051.lode-5.txt	20285
109	o0051.lode-6.txt	23569
193	o0051.lode-7.txt	45950
380	o0051.lode-8.txt	94972
143	o0052.lode-1.txt	32502
121	o0052.lode-2.txt	25953
84	o0052.lode-3.txt	18992
54	o0052.lode-4.txt	11880
61	o0052.lode-5.txt	13313
58	o0052.lode-6.txt	13716
76	o0052.lode-7.txt	16991
103	o0052.lode-8.txt	22918
140	o0053.lode-1.txt	32998
137	o0053.lode-2.txt	29460
104	o0053.lode-3.txt	22811
72	o0053.lode-4.txt	15046
67	o0053.lode-5.txt	14852
71	o0053.lode-6.txt	16304
151	o0053.lode-7.txt	34035
298	o0053.lode-8.txt	75989
100	o0054.lode-1.txt	21430
86	o0054.lode-2.txt	18257
58	o0054.lode-3.txt	13500
60	o0054.lode-4.txt	9218
72	o0054.lode-5.txt	9273
62	o0054.lode-6.txt	10686
78	o0054.lode-7.txt	16348
133	o0054.lode-8.txt	30404
144	o0055.lode-1.txt	34216
122	o0055.lode-2.txt	28161
90	o0055.lode-3.txt	19756
56	o0055.lode-4.txt	11650
60	o0055.lode-5.txt	11927
59	o0055.lode-6.txt	12517
93	o0055.lode-7.txt	20916
180	o0055.lode-8.txt	44125
165	o0056.lode-1.txt	35354
117	o0056.lode-2.txt	29438
110	o0056.lode-3.txt	21154
52	o0056.lode-4.txt	12606
59	o0056.lode-5.txt	12740
62	o0056.lode-6.txt	12877
86	o0056.lode-7.txt	20475
148	o0056.lode-8.txt	37861
123	o0057.lode-1.txt	27729
111	o0057.lode-2.txt	24228
78	o0057.lode-3.txt	16812
64	o0057.lode-4.txt	9101
55	o0057.lode-5.txt	10018
64	o0057.lode-6.txt	11783
81	o0057.lode-7.txt	17200
100	o0057.lode-8.txt	22355
127	o0058.lode-1.txt	31231
115	o0058.lode-2.txt	27882
85	o0058.lode-3.txt	19183
63	o0058.lode-4.txt	9791
61	o0058.lode-5.txt	10107
51	o0058.lode-6.txt	11247
71	o0058.lode-7.txt	13563
95	o0058.lode-8.txt	21575
71	o0072.lode-1.txt	14243
58	o0072.lode-2.txt	10991
41	o0072.lode-3.txt	8718
34	o0072.lode-4.txt	6499
40	o0072.lode-5.txt	6600
59	o0072.lode-6.txt	8822
90	o0072.lode-7.txt	17953
156	o0072.lode-8.txt	38786
57	o0073.lode-1.txt	12149
65	o0073.lode-2.txt	10713
58	o0073.lode-3.txt	9638
37	o0073.lode-4.txt	7022
44	o0073.lode-5.txt	7122
52	o0073.lode-6.txt	9547
110	o0073.lode-7.txt	24811
276	o0073.lode-8.txt	69217
101	o0074.lode-1.txt	22121
84	o0074.lode-2.txt	18347
59	o0074.lode-3.txt	14863
58	o0074.lode-4.txt	9770
57	o0074.lode-5.txt	10650
66	o0074.lode-6.txt	13900
129	o0074.lode-7.txt	30709
305	o0074.lode-8.txt	76160
79	o0076.lode-1.txt	18713
73	o0076.lode-2.txt	16043
61	o0076.lode-3.txt	13026
66	o0076.lode-4.txt	8850
51	o0076.lode-5.txt	9427
69	o0076.lode-6.txt	14083
145	o0076.lode-7.txt	33617
316	o0076.lode-8.txt	75966
99	o0077.lode-1.txt	23833
91	o0077.lode-2.txt	20889
98	o0077.lode-3.txt	16909
65	o0077.lode-4.txt	11423
56	o0077.lode-5.txt	11692
69	o0077.lode-6.txt	15477
145	o0077.lode-7.txt	33875
305	o0077.lode-8.txt	75053
115	o0078.lode-1.txt	26249
93	o0078.lode-2.txt	22512
86	o0078.lode-3.txt	17875
61	o0078.lode-4.txt	12208
63	o0078.lode-5.txt	13207
83	o0078.lode-6.txt	18578
170	o0078.lode-7.txt	41835
375	o0078.lode-8.txt	96291
144	o0080.lode-1.txt	28206
101	o0080.lode-2.txt	25497
98	o0080.lode-3.txt	21467
67	o0080.lode-4.txt	14307
58	o0080.lode-5.txt	14074
84	o0080.lode-6.txt	18249
167	o0080.lode-7.txt	41182
409	o0080.lode-8.txt	103811
139	o0103.lode-1.txt	28931
100	o0103.lode-2.txt	23389
79	o0103.lode-3.txt	16530
71	o0103.lode-4.txt	9960
65	o0103.lode-5.txt	10600
67	o0103.lode-6.txt	12010
100	o0103.lode-7.txt	22336
210	o0103.lode-8.txt	50982
130	o0104.lode-1.txt	29788
115	o0104.lode-2.txt	25864
85	o0104.lode-3.txt	18085
88	o0104.lode-4.txt	10629
85	o0104.lode-5.txt	10131
46	o0104.lode-6.txt	10074
70	o0104.lode-7.txt	14075
110	o0104.lode-8.txt	25803
116	o0107.lode-1.txt	26217
117	o0107.lode-2.txt	26088
85	o0107.lode-3.txt	18707
48	o0107.lode-4.txt	8460
37	o0107.lode-5.txt	8582
50	o0107.lode-6.txt	9591
78	o0107.lode-7.txt	16654
184	o0107.lode-8.txt	38759
127	o0108.lode-1.txt	28323
141	o0108.lode-2.txt	32039
108	o0108.lode-3.txt	24666
39	o0108.lode-4.txt	7345
36	o0108.lode-5.txt	6060
68	o0108.lode-6.txt	7006
54	o0108.lode-7.txt	12330
89	o0108.lode-8.txt	20884
67	o0116.lode-1.txt	15119
60	o0116.lode-2.txt	12785
61	o0116.lode-3.txt	12129
34	o0116.lode-4.txt	6658
34	o0116.lode-5.txt	5318
25	o0116.lode-6.txt	4723
29	o0116.lode-7.txt	6318
76	o0116.lode-8.txt	14227
57	o0117.lode-1.txt	11352
45	o0117.lode-2.txt	8536
45	o0117.lode-3.txt	7982
36	o0117.lode-4.txt	5813
28	o0117.lode-5.txt	5135
45	o0117.lode-6.txt	4669
33	o0117.lode-7.txt	7275
77	o0117.lode-8.txt	18726
65	o0119.lode-1.txt	13010
45	o0119.lode-2.txt	9943
60	o0119.lode-3.txt	8939
39	o0119.lode-4.txt	6812
33	o0119.lode-5.txt	6012
41	o0119.lode-6.txt	6864
51	o0119.lode-7.txt	12103
115	o0119.lode-8.txt	27194
93	o0120.lode-1.txt	16313
54	o0120.lode-2.txt	12651
54	o0120.lode-3.txt	10756
43	o0120.lode-4.txt	8015
40	o0120.lode-5.txt	8486
62	o0120.lode-6.txt	10833
104	o0120.lode-7.txt	23916
202	o0120.lode-8.txt	47286
64	o0121.lode-1.txt	14010
60	o0121.lode-2.txt	11549
56	o0121.lode-3.txt	9614
42	o0121.lode-4.txt	6974
29	o0121.lode-5.txt	6769
57	o0121.lode-6.txt	8892
91	o0121.lode-7.txt	19072
216	o0121.lode-8.txt	50871
71	o0122.lode-1.txt	15419
63	o0122.lode-2.txt	13146
47	o0122.lode-3.txt	10633
44	o0122.lode-4.txt	7689
45	o0122.lode-5.txt	8140
47	o0122.lode-6.txt	11650
114	o0122.lode-7.txt	26190
280	o0122.lode-8.txt	64359
96	o0123.lode-1.txt	21486
71	o0123.lode-2.txt	17675
65	o0123.lode-3.txt	14073
40	o0123.lode-4.txt	9407
60	o0123.lode-5.txt	10539
65	o0123.lode-6.txt	14671
132	o0123.lode-7.txt	31792
343	o0123.lode-8.txt	84153
153	o0124.lode-1.txt	28357
104	o0124.lode-2.txt	24338
83	o0124.lode-3.txt	18810
54	o0124.lode-4.txt	11844
61	o0124.lode-5.txt	12635
76	o0124.lode-6.txt	16559
135	o0124.lode-7.txt	32132
283	o0124.lode-8.txt	68900
137	o0126.lode-1.txt	30225
125	o0126.lode-2.txt	24380
111	o0126.lode-3.txt	17703
51	o0126.lode-4.txt	10486
51	o0126.lode-5.txt	11043
75	o0126.lode-6.txt	17021
180	o0126.lode-7.txt	43466
423	o0126.lode-8.txt	109521
111	o0127.lode-1.txt	22195
81	o0127.lode-2.txt	18287
76	o0127.lode-3.txt	15251
91	o0127.lode-4.txt	10364
59	o0127.lode-5.txt	12195
79	o0127.lode-6.txt	18454
180	o0127.lode-7.txt	44893
421	o0127.lode-8.txt	109387
47	o0146a.lode-1.txt	5939
23	o0146a.lode-2.txt	5128
25	o0146a.lode-3.txt	4163
25	o0146a.lode-4.txt	3335
18	o0146a.lode-5.txt	2929
26	o0146a.lode-6.txt	2906
25	o0146a.lode-7.txt	4910
71	o0146a.lode-8.txt	10938
119	o0146b.lode-1.txt	25632
99	o0146b.lode-2.txt	21269
70	o0146b.lode-3.txt	15828
64	o0146b.lode-4.txt	9855
47	o0146b.lode-5.txt	8847
44	o0146b.lode-6.txt	8836
66	o0146b.lode-7.txt	15647
156	o0146b.lode-8.txt	37813
43	o0147a.lode-1.txt	6167
50	o0147a.lode-2.txt	5587
33	o0147a.lode-3.txt	4449
22	o0147a.lode-4.txt	3341
24	o0147a.lode-5.txt	2992
23	o0147a.lode-6.txt	3176
39	o0147a.lode-7.txt	6442
109	o0147a.lode-8.txt	17950
105	o0147b.lode-1.txt	21668
82	o0147b.lode-2.txt	17559
80	o0147b.lode-3.txt	13143
64	o0147b.lode-4.txt	8229
46	o0147b.lode-5.txt	9020
63	o0147b.lode-6.txt	11542
107	o0147b.lode-7.txt	23248
234	o0147b.lode-8.txt	54680
126	o0149b.lode-1.txt	26126
96	o0149b.lode-2.txt	21967
69	o0149b.lode-3.txt	15815
61	o0149b.lode-4.txt	9161
48	o0149b.lode-5.txt	9002
54	o0149b.lode-6.txt	10299
84	o0149b.lode-7.txt	16205
139	o0149b.lode-8.txt	31299
123	o0158a.lode-1.txt	25888
129	o0158a.lode-2.txt	27166
104	o0158a.lode-3.txt	23960
47	o0158a.lode-4.txt	6255
66	o0158a.lode-5.txt	5057
66	o0158a.lode-6.txt	8005
83	o0158a.lode-7.txt	16379
119	o0158a.lode-8.txt	27800
27	o0158b.lode-1.txt	2882
21	o0158b.lode-2.txt	2616
12	o0158b.lode-3.txt	2239
